id,category,topic,angle,status,video_id,notes
1,avoidant-attachment,The Emotionally Avoidant Adult,Why You Disappear From People Who Get Too Close,pending,,
2,fawn-response,The Compulsive Apologizer,Why You Say Sorry For Things That Aren't Your Fault,pending,,
3,enmeshment,The Adult Who Cut Off Their Family,Why Walking Away From Family Felt Like the Only Way to Breathe,pending,,
4,invisibility,The Person Who Feels Invisible in Groups,Why You Go Quiet the Moment a Room Fills Up,pending,,
5,social-isolation,The Person With No Close Friends,Why Connection Feels Exhausting Instead of Easy,pending,,
6,perfectionism,The High-Functioning Perfectionist,Why Being Fine Is Your Most Exhausting Performance,pending,,
7,fawn-response,The Person Who Can't Say No,Why Every Yes Costs You a Piece of Yourself,pending,,
8,fawn-response,The Fake-Confidence Adult,Why Confidence Became a Mask You Forgot You Were Wearing,pending,,
9,hypervigilance,The Adult Who Reads Every Room,Why You Can't Relax Until You Know Everyone's Mood,pending,,
10,self-abandonment,The Person Who Disappears in Relationships,Why You Become Whoever the Room Needs You to Be,pending,,
11,parentification,The Adult Who Was the Family's Therapist as a Kid,Why You Take Care of Everyone Except Yourself,pending,,
12,emotional-numbness,The Emotionally Numb Achiever,Why Success Never Quite Reaches the Part of You That's Tired,pending,,
